# time (s), x coordinate (m), y coordinate (m)
1.119600000000000136e+03,-4.761962887131798716e+00,1.174371878137844227e+01
1.123200000000000045e+03,-4.879936446767326075e+00,1.182061716303058319e+01
1.126799999999999955e+03,-4.997385011583365788e+00,1.189249650676954317e+01
1.130400000000000091e+03,-5.114055588507754990e+00,1.195898096740473804e+01
1.134000000000000000e+03,-5.229690589801541556e+00,1.201971162395339121e+01
1.137600000000000136e+03,-5.344028867366748869e+00,1.207434780763276905e+01
1.141200000000000045e+03,-5.456806778289736037e+00,1.212256835963799873e+01
1.144799999999999955e+03,-5.567759277114351590e+00,1.216407281374059579e+01
1.148400000000000091e+03,-5.676621030175619254e+00,1.219858249905475134e+01
1.152000000000000000e+03,-5.783127547181507566e+00,1.222584155864957900e+01
1.155600000000000136e+03,-5.887016325108627157e+00,1.224561788003466489e+01
1.159200000000000045e+03,-5.988027999377891319e+00,1.225770393391209545e+01
1.162799999999999955e+03,-6.085907497198896898e+00,1.226191751796872786e+01
1.166400000000000091e+03,-6.180405187917654253e+00,1.225810240287628083e+01
1.170000000000000000e+03,-6.271278025171548975e+00,1.224612887807237804e+01
1.173600000000000136e+03,-6.358290675648424539e+00,1.222589419531079180e+01
1.177200000000000045e+03,-6.441216629263663229e+00,1.219732290839252897e+01
1.180799999999999955e+03,-6.519839285609908330e+00,1.216036710791868103e+01
1.184400000000000091e+03,-6.593953011599040792e+00,1.211500655033967355e+01
1.188000000000000000e+03,-6.663364165304302311e+00,1.206124868101169767e+01
1.191600000000000136e+03,-6.727892081122805124e+00,1.199912855140791024e+01
1.195200000000000045e+03,-6.787370011513494283e+00,1.192870863106706203e+01
1.198799999999999955e+03,-6.841646020723548105e+00,1.185007851529462286e+01
1.202400000000000091e+03,-6.890583826095724618e+00,1.176335453005822096e+01
1.206000000000000000e+03,-6.934063582750300547e+00,1.166867923593951950e+01
1.209600000000000136e+03,-6.971982607656681985e+00,1.156622083341598639e+01
1.213200000000000045e+03,-7.004256039350738483e+00,1.145617247214678081e+01
1.216799999999999955e+03,-7.030817429813646768e+00,1.133875146732581030e+01
1.220400000000000091e+03,-7.051619265305015816e+00,1.121419842653961219e+01
1.224000000000000000e+03,-7.066633413236578676e+00,1.108277629092731154e+01
1.227600000000000136e+03,-7.075851492481064930e+00,1.094476929478194371e+01
1.231200000000000045e+03,-7.079285164833073019e+00,1.080048184805642464e+01
1.234799999999999955e+03,-7.076966345673213254e+00,1.065023734654164578e+01
1.238400000000000091e+03,-7.068947332232022873e+00,1.049437691476691015e+01
1.242000000000000000e+03,-7.055300848204828057e+00,1.033325808693379955e+01
1.245600000000000136e+03,-7.036120003830978575e+00,1.016725343143184546e+01
1.249200000000000045e+03,-7.011518170919397441e+00,9.996749124697405620e+00
1.252799999999999955e+03,-6.981628772675284367e+00,9.822143480364962542e+00
1.256400000000000091e+03,-6.946604988558536142e+00,9.643845439821953747e+00
1.260000000000000000e+03,-6.906619374781294951e+00,9.462273030413554054e+00
1.263600000000000136e+03,-6.861863401428178300e+00,9.277851797651914367e+00
1.267200000000000045e+03,-6.812546907556649600e+00,9.091013217865198115e+00
1.270799999999999955e+03,-6.758897476004857907e+00,8.902193097774565800e+00
1.274400000000000091e+03,-6.701159729998166448e+00,8.711829967512088047e+00
1.278000000000000000e+03,-6.639594554002558269e+00,8.520363473590057524e+00
1.281600000000000136e+03,-6.574478241620360208e+00,8.328232778300778349e+00
1.285200000000000045e+03,-6.506101573660799886e+00,8.135874971967792746e+00
1.288799999999999955e+03,-6.434768829842437476e+00,7.943723504383680911e+00
1.292400000000000091e+03,-6.360796737895375585e+00,7.752206641656961494e+00
1.296000000000000000e+03,-6.284513364126550705e+00,7.561745954551740923e+00
1.299600000000000136e+03,-6.206256949790418531e+00,7.372754844239487682e+00
1.303200000000000045e+03,-6.126374697868086194e+00,7.185637111193149629e+00
1.306799999999999955e+03,-6.045221515099511223e+00,7.000785572740817031e+00
1.310400000000000091e+03,-5.963158714334647392e+00,6.818580734560579337e+00
1.314000000000000000e+03,-5.880552682468759507e+00,6.639389521140528494e+00
1.317600000000000136e+03,-5.797773519404605835e+00,6.463564069950386681e+00
1.321200000000000045e+03,-5.715193653637387960e+00,6.291440593773635293e+00
1.324799999999999955e+03,-5.633186440188318045e+00,6.123338315334805770e+00
1.328400000000000091e+03,-5.552124746716875059e+00,5.959558478024949757e+00
1.332000000000000000e+03,-5.472379533721237088e+00,5.800383436182628749e+00
1.335600000000000136e+03,-5.394318434789428629e+00,5.646075828028509491e+00
1.339200000000000045e+03,-5.318304342890868952e+00,5.496877833980972738e+00
1.342799999999999955e+03,-5.244694008698480125e+00,5.353010522699551466e+00
1.346400000000000091e+03,-5.173836656905475451e+00,5.214673286814287323e+00
1.350000000000000000e+03,-5.106072626448413310e+00,5.082043369903937347e+00
1.353600000000000136e+03,-5.041732040469103282e+00,4.955275485886363462e+00
1.357200000000000045e+03,-4.981133511742792841e+00,4.834501531581728351e+00
1.360799999999999955e+03,-4.924582889169215605e+00,4.719830392805800301e+00
1.364400000000000091e+03,-4.872372050766932361e+00,4.611347843947855907e+00
1.368000000000000000e+03,-4.824777748430421731e+00,4.509116540587396749e+00
